review,sentiment
SUNBURN  i hate the sun,0
@stillmank I'm pretty sure The Shape of Punk to Come is the most perfect album I have ever listened to ,4
"@NoSugarrr  Pasta with vegetables, French Potatoes and delicate lemon mini cakes with strawberries and whipped cream ",4
3.0 firmware looks fun but it relocks the phone. ,0
I was SO looking forward 2 pudding.  I don't have any dairy milk in my house. Only rice milk... which turns pudding mix in2 a soupy mess,0
"@calliopeconsult - no problem - I'm just checking it out, myself.  ",4
"Which reminds me, time to start the next bottle now that I'm down to 375ml or so. ",4
just wants to be tan . .  ,0
"@octyocty unfortunately not.. already bought the ticket,though.. ",0
@HemalRadia Hi Amazing Brother! Sending Limitless (((Love))) Your Way! Twitterland is Radiant when You walk along its streets!  (((HUGS))),4
"@youngscolla Definitely didn't mean to send that first one! Lol... Aww, I miss my blog. I wonder how its doing ",0
try to cook XD... okay. trying to make a salad. ... mom is doing the rest XD probably better way for all eaters here ,4
@eddus - still no twitpics  Have to find an adaptor for my memory stick. (The house should have a wizard or at least a gopher!),0
"i love you, so much. ",0
@swalkingtree hi sequoia  be well!,4
"Waking up at 6.20 in the am tomorrow? Yuuss..  but I love emergence, so it's worth it. Talking to Tyler for a bit, then off to bed.",0
@danielchua I think u need to change the timing of our service in the website as well. ,4
NOOOOOOOO looks like rain ,0
i believe my sweat watered the grass as I was mowing just now! guess that will save on my water bill ,4
"ha, the toad is gonna write us up next time we don't tie our hair up &quot;properly&quot;. there won't be a &quot;next time&quot;  2 weeks.. or maybe 1?",4
@LMSStars Good luck my friend. ,4
still does not know what to have my mom get me as pasalubong ,0
beats the heat with cool guava juice in handi water ,4
3 years shy of getting into Letterman  Don't you have to be 16 to get in to se Jimmy Fallon ?,0
"Still tasting garlic bread from 3 hrs ago, not the greatest ",0
Oh My! my brain is going to explode because of the baldrige application ,0
ok. i'm so very stoked about what #sony announced at #E3. this upcoming year's releases are gonna be the best ( #microsoft got owned). ,4
i think i'm getting sick... ,0
@Aleksandr_Orlov thanks to you i have found many play friends from your website. Thanks ,4
I just taught Jarrad to multi task! ,4
its fathers day &amp; jonathan is away  x,0
New &quot;Weird Al&quot; song/video hits the same day (June 16) as Ghostbusters game &amp; Blu-ray are released. Good day to be a nerd ,4
deffo goin to walk the dog agen soon  think im gonna go a long walk agen still watchin hollyoaks omnibus ooooh its gettin gd lol,4
@julianreischl We actually thought it would be raining all the timeâ¦stupid weather forecastâ¦!  But time and money were also an issueâ¦,0
WTH?? When did my scrawny ass arms get muscles? ,4
needs to conquer this 5-10 research paper   I need all the help I can get!!!! PS I miss the boy already!! &lt;3,0
Hey @SoOunTM just paid for my phone bill and bought the phone  broke!!,0
@yowlanku mero 166 jati cha without extensions ,0
@Sneezure I have nothing to do now that the boards are down. ,0
Hilarious volleyball match today in class ,4
is really happy to see my very dear friend MJ. It was indeed a wonderful surprise! ,4
@JoyIsFancy Le suck. ,0
"wow. demi just tweeted alot. So happy , i think he likes me  he makes me smile so much.",4
@KrisAllenmusic http://twitpic.com/68e67 - and i'm proud of you.  lol. you're amazing. i can't wait until your album comes out.,4
"Sexy Costumes Sexy Lingerie Sexy Leather and So much more, We are not selling Church out fits here  Drive him Wildhttp://bit.ly/hEDpD",4
@givinallmyluv2u he's on now ... ,0
@sunbug  btw - posting tomorrow - do you still want wadding?,4
"No hubo The Big Bang Theory  otra vez, hasta el 13 ",0
&lt;-- is looking forward to tonight ,4
Off to play some 80's rock woot. Minus the woot. ,0
Dekho Nashe Mein..Sara Jahan Hai...Kitni Hassin Mulakat Hai...Betabi Chahyi Hothon Mein Aai..Dil Mein Chupe Jo Baat Hai..Bahaaon Mein ~` ,4
Movie night in my living room with a &quot;blast from the past&quot; tonight. Gonna get into some trouble? Ut-oh. It would hurt my feelings... ,0
"OH still feels pretty bad, thumping head  So I shouldn't complain, I just feel wiped out, no longer any particularly bad symptoms ",0
@TheMadModel LOL i saw you showing love to everybody..  except me.. Sike nah.. whats up!!,0
"@XchaoticchaseX Now I'm downloading some stuff, I suddenly am IN LOVE with my dashboard!  &lt;3",4
Federer wins the #French Open ,4
@TiaMowry was invited but is not here.  We miss you Tia!,0
@Javamomma Morning!! here it's kinda cloudy !  i'm catching up on all the work i haven't done during the week end! lol,0
"@prosperitygal  you slept. Yes, raising funds for non-profit orgs (consulting). OAN: Did you end up planning/holding a tweet-up?",4
My teeth hurt so bad ,0
Monday blues ,0
My last tweet of the night  goodnight twitterers,0
just read the &quot;some Italian words&quot; section in the back of her tour guide and she got so excited her tummy flipped. ,4
interview w/ the Carolina Panthers today! didn't get to go to MD for the race! ,0
@hannahmz did everyone see it ,4
@sevinnyne6126 Will you tell us how the movie was? Apparently not as good as the first ,0
@HaileyEdwards It is a beautiful cover ...and honestly better than some of the other options ,4
@JammyRabbins hey jimmy how are u doing ,4
@deirdresm Keeping both you and Rick in my thoughts! Both of you need to heal quickly. ,4
@ddlovato Heeey Demi  PLEASE follow me! I'm a big fan of you! I love you so much!,4
love the jonas brothers new album! Especially the song &quot;much better&quot; where Joe Jonas bashes Taylor Swift! ,0
@tiltmodesoldier Im so sorry I thought you knew!!!!!!! ,0
@carazelaya  thx to follow me. mind to intro? ,4
ONIM!!!! too cold and windy to lay out in the sun ,0
"@duncn Indeed, there is little praise in IT - we support ~120 staff and systems and generally only hear when things implode. ",0
would like to have even a little bit of time off work. Laying out until 11:30 then work 12:30-8:30. ,0
writing my report for uni! ,0
Thea Shoot @ 4 ,4
"Going to relax today untill training tonight - have some revision to be getting on with, for my exam on monday ",0
playing with ma Babby! No pictures as of yet   later? x,0
I'm tired of Plants Vs Zombies already. Going to have a rest now. For the day. ,4
So tired but I gotta get up  last official day of grade11! Thursday/Friday exams. Then SUMMER : D,0
@bethharte. YOUR FIRED  c its easy.,4
@DavidArchie  PLEASE REPLY IF YOU HAVE A PLURK ACCOUNT ,0
"Feel like playing guitar, if i only had one ",0
"I feel bad for asking,who were the hot blondes I met on the XRCO red carpet that told me we know each other on Twitter? Names escape me ",0
Omg its thundering and raining really bad now ,0
"Such a busy day, so exhausted. My arms are painful, but i have no idea ",0
@robluketic Rise &amp; Shine Rob Good Morning ,4
loves this hot hot heat ,4
@willsmith727 I think the trick is just not to use CSS -period! Emails seem to have a love affair with tables unfortunately ,0
@doughbee LMAO! fun times  Le-et it groooooooow. Come over heeeere And help me trim my eeeenddds.,0
"@12thplanet I wish I was going, my fave party on the eastside  have a blast! my girlies will be dancing to ya!",4
I think I understand ,4
@theBetaGuy I don't want to recreate alllll of my groups. ,0
"@JD_WILLS What's wrong with your head, baby? ",0
"@robertbrook I'd say they would definitely think yes. Kinda seems fair, but it would be nice if it were free... ",0
doesn't want the weekend to be over. I don't want tomorrow to be a work day again.  http://plurk.com/p/ri01s,0
@ashleytisdale http://twitpic.com/6ercx - congratulations  I am delighted that you've won I LOVE YOU (L) ,4
not all of them though. elena is an angel ,4
@buckhollywood happy Tuesday!! ,4
"@justaddgrace Pick up something from TJs... and the Feast is at 5, so that's two hours before your conference call. ",4
im kinda mad and dont understand this ,0
"Time for lofi French black metal. Yes, this is the Frank Sinatra song. Why do you ask?  Mutiilation &quot;My Way&quot; â« http://twt.fm/148696 #bmotd",4
Going to get some coffee ,4
"@kellytee awww that's honestly too bad, darlin. I'LL MISS YOUR PRETTY FACE ",0
@dhewlett Ignore a mySQL problem until tomorrow? You're definitely still a system admin at heart ,4
"we're so Jenga. like take one piece out carefully, or we all fall down. doesnt anyone else remember Jenga?! ",0
I finally reached my house!. school drains me much ,0
@nathany All I have is a photoshop mockup.  #djangodash,4
@GodFirst08  what's wrong? Just got on the bus headed home so I'll be here for a little bit of you want to talk. Or FB or DM...,0
Carolina Timm in Brasil-HI! your Twitter automatically updates MY facebook! Can you please disable that in your account settings? thanks! ,4
@ the mall trying to find something but I'm not having much luck ,0
Good night people... ,4
@FeeeeedYourHead @skelevengeance @V_O_D will you guys video it for me as i am skint ,0
@brybrarobry how about a rematch? ,4
Talking with lethargic Ochibi.. ,4
@ACRead I know! I am getting more this week! Cowboys/Immortals and Spies ,4
@paddyduke oh no!! i do hope you have recovered  &lt;3,0
Spent her last $2.40 in a vending machine but has no chocolate. And I really wanted chocolate ,0
watching a commercial on tv about ZooBooks. I've always wanted them. I still do. ,0
Did you hear about Sxephil's father..  So sad.. Poor PhilyD..,0
@black_rose_1357 hello dear. ,4
I have class in 30 and I don't know whY to wear!!!! I have like no cute clothes!!!  ,0
having pancakes in sweetiepie-wana go explore greenwich village but its raining ,0
@ajrafael Ah im going too ! ,4
@micaguerra Thanks so much  I know you're here. I'm here too. Love you ,4
everyone in my house is asleeeeeep so now I'm lonely ,0
@welshdaisy and sorry you didn't ,0
reckons somebody should lend her Â£1299.99 so she can buy a red Lumix GH1 ,4
listening to one time ,4
I'm very very excited :') i feel the same emotions i felt THAT March 28  â¥,4
"Maybe some golfing today, Why donÂ´t any of my friends play! ",0
"I wanted to go out so bad, but looks like im gonna be stuck at home ",0
@xCaitlinx i too  lazy and shy to go ,0
"Ok, Ill back out slowly....Sorry, abt the other Tweets, I post....This why no1 luvs me. Coz, I like gross stuff. People, dont like it. ",0
back from school  i'm hungry i should eat something,4
@Melancthe I'm thinking fishy armour would be good!  But I also want to get my Ranger to end of Factions to her Elite Canthan ,4
"@Jullita birthday', i hope you have an amazing day!!! Hehe, i love dancing too ",4
Damn I missed out  http://chicagonakedride.org/,0
I'm so tired ,0
Going for the night  Byeee tweeters! x,0
"@kumutsu More or less, although I had to note @vanders absence, and Haydo trying to pull was a little unprofessional. ",4
needs to find an outdoor spot to chill...no parks in w'side ,0
@lyssasmommy what's wrong ,0
"after the convo i just had, i need to run home for lunch, spend time w/the pups and see if that cheers me up ",0
CROSS COUNTRY CROSS COUNTRY LALALALAHH ,4
"@_CrC_ still at the hotel in VA, will be flying out to Camden to see ya fellas-we were at ATL, VA &amp; Camden will be our last show ",0
had n awesome lunch ,4
"@Amanda_Holden www.justgiving.com/laurense... - please visit, its all for charity! ",4
"@befuddle - cool, we ended up in some pub in Soho! Wish I had gone straight home!! Lol! Don't feel too bad at the moment though ",4
"@chrismistybelle true, but I don't have a working car to get me to Indy ",0
Cruzn 2 the beach        R.R!,4
Started using Wesabe again....  Now i can see where all my money is going ,0
"I'm fully energized from my 24hr post work sleep-a-thon. So now I'm back on my grind, hardcore training this mornin then shooting later! ",4
@teachtech @digitalroberto @seani @cbell619 @techmaverick Note 2 self: check cal before saying Yes to #firstfriday! 8th gr dance on 6/12! ,0
Total Nerd here.. but I am devastated. I just read that the last Titanic survivor died yesterday.   RIP Millvina,0
I want this clutch so bad.. it's so on sale.. http://www.etsy.com/shop.php?user_id=97521 but i dont need it ,0
"@willchamplin It was awesome to see you play, you rawk ",4
I'm in church! I feel so holy!  hahaha,4
@roiben unless it is being a pain in the arse like it currently is. ,0
@CynthiaBuroughs thanks for the advice on the other issue a few days ago too... Very much appreciated! ,4
@maggiee26 tell me about it. And now that I'm home I can't sleep.... ,0
Thanks for the retweets @cdorobek @egillhardar @rishil @thorarinnh @swerveball ,4
"@ddlovato haha, sounds. . . fragrant? xD I sincerely hope people realize your joking ",4
I think I should do my homework... ,0
well bye guys if i can i'll call yu at airport or on way to there hmmm longest three weeks of me lifee  ily.,0
@ddlovato hi sweetheart ! i love u so much demetria ,4
I getting a new phone!!! But I hate the one Im getting ,0
Taking a break from packing  Glamming up me nails!,4
An Air France place missing after takeoff from Rio Brazil around 600 GMT reports CNN.  Also Indians were hit twice wt tech snag at Paris.,0
"Sleepy, but don't want the night to end because I don't want to go to work ",0
"Leaving for breakfast....happy tracks  Get better fast, dad. You have an appointment in the cab of a steam engine...",4
@alltimeblows I can't.  I have a nail appointment and it all depends on when my aunt wants to get there.,0
I feel lonely ,0
Lost my course work stuff  SHIT!!!!,0
At gmall parking lot airing out my car. Kellys a bitch. ,4
"just got home, had 2 cups of bubble tea, so fullll.  live, stickam.com/mattxmayhemm",4
@Yummy_Flaquito me too  play with ur iphone or ur ds tehy both got that game peggle u love,0
@JuliaVnt I enjoyed his movies and def enjoyed him as &quot;grasshopper&quot;  ,4
Ugh they're keeping my on call at work  come visit me at metropark @ the cerritos mall,0
loveley greetings to magarete and miss k ,4
hate leaving ,0
"Nugo, I miss you ",0
ok damn near 12 n da morning &amp; i'm up.. Thinkin of wat i can do 2morrow. don't have alot of choices due 2 bein unemployed &amp; broke.  ,0
"Twitter is eerily quiet. Agreeing with @bytera that Twitter has effectively killed its discovery aspect, but replying would hide this. ",0
@chelsea_onhs @orange1216 Do we want Ashley to come? She's kinda complain-y. ,4
Caught out by credit card payment oversight. ï¿½82 interest and fine  That's how they make money I guess.,0
wheres the sun gone? ,0
A quote from Sir Winston Churchill ~ I am an optimist. It does not seem too much use being anything else.  Have a happy Monday ,4
"@orangecatblues Ugh, flea goop and THEN getting washed IN WATER?!? Poor Loki. ",0
is doing homework ,0
Man I need to get a hang of this! ,4
i'm not sure that the bruno vs eminem was staged....at least eminem did not expect bruon's butt in his face ,4
@heidimontag how come you dont have your wedding ring on in that picture on us weekly chick?!  you are amazing either way! w/b!!!,4
At buffalo wild wings with the fam our last dinner with christina before she goes back home tomorrow ,0
"&quot;I think, therefore I'm dangerous.&quot;  A new twist to the old maxim. I find I like it better. How would you say that in Latin, though?",4
@jbgreen Ugh...I work too much ,0
Chillin at beau's parents. Gonna miss her while she's gone. ,0
"@luluchandie85 Hey. I'm great thanks, how are you? I'm listening to 30stm too ",4
@MelRyan Don't count on it ,0
"@nagham @KAL79  dear regarding summer we need indoor small hall or studio still searching, do u know any one can offer such place? ",4
lost his touch n go ,0
@Wonginator i wish i was on spring break... ,0
happy father's day. but daddy's not home yet ,0
@sandkatt Nice.  Lmao I went to dinner with my friend and helped her do her registry at Ikea because her fiancee is lazy. Twas fun tho. =P,4
"@CoryBedford I want a cd dude. And I so would've gone to your show, but I'm outta town. ",0
going to compete in new york city next week!! ,4
Lost was the bomb literally! Can't believe next season will be the last season! ,0
"@Sanyu Aww!  You don't have to do that for me, San-san. ;u; You're so nice. XD -hugs-",4
@ajgrammatico awww good girl.  and yeahhh,4
"is eating malteasers, i have work at 5 ",0
@tweetpea there were Japanese drum performance at sunset on the beach stage on Fri eve. U will hear it today too ,4
@jtrinaa Aww. I want to go to UA&amp;P too to see friends ,0
I miss my bros @Iceburg2K8 Rigde @LadyCharlie (yeah u 2) Wali everyone is either booed up or away ,0
@ddllovato and if you are a fake im goin 2 be so completely shattered ,0
@TheMadModel lmfao type in my name on cursebird.com im comin up  bitches lmfao,4
can't find any nice words for a .tel domain http://wortsuchen.de/ends-with-by-length/tel/ haha ,4
I should leave more often - people keep on paying for my drinks ,4
"@ddlovato http://twitpic.com/4vtlm - awww, she is really cute ",4
@danipoynterjudd Tell me how it went when you get home ,4
I dont like seeing people cry ,0
unsuccessful shopping day.  opening ceremony is still entertaining though.,0
"yeay  twiitters workinq aqain! im realLy bored &amp;jaimie just went home &quot;/ so qay! currentLy doinq nothinq, uqh. i wanna Leave my house man.",4
@TuesdayBlues so lucky  i miss perth hahaha,0
Hoping that AShley T. And Taylor Lautner will get a Movie Award  and just relexing ,4
"@nlomioni Woo, cool! I didn't get any presents this year ",0
i have to work in an hour and a half....starting dishwashing today. egh! really can't be bothered.... ,0
Still waiting for it to play ,0
@1045CHUMFM I give up Fav!  I try and try every time...and nothing ever happens...I'm not usually  a quitter...in this case I might be! ,0
http://twitpic.com/7ivhw - Isn't he just sexy? ,4
@beckyhope Ohhh that's cool  You're gonna be on Jimmy Kimmel =D I'll have to find you haha,4
@deifire By viewing our tweets you absolve Restrictor Plated of all damage to your computer peripherals as a result of &quot;spit takes.&quot; ,4
"@dollywould Yes! If you were cool like Mr Pom and received a free script to GEEK magazine, you'd know this already (it's on the cover) ",4
@StellarJaeMae Thanks!  I just kicked anatomy's ass haha ,4
"@laurairmis They ARE that good - in fact, better than most other cereals (and one of my favs)   You ARE healthy!",4
is working on a sunday morning with an actual fractured foot bone ,0
I'm heaps bummed I didn't get to Justins last night  and I spilled Sunday on myself it was an awful night. Nick is still noting away...,0
@james__liu o thanks for the message on my phone; i'll call ya tomorrow ,4
going to bed. by people ,4
"@iViva  - oh please say who it is, I am in Holland and can't receive ITV here!! Agonising wait  Thanks!",4
At Zachs watching scary movies. ,0
Crazy Family ! My cousin is so Foolish ... I wanna kill him ,0
hung the fuck over ,4
@yutingloveshow  I've got tuition tomorrow too!,0
at hannah montana set.... im missing tennessee ALOT today ,0
@Shontelle_Layne hey shontelle..what hotel you all staying in?! was great seeing you again tonight. im completely sunburnt! ,0
BEDTIME!  waking up early 2morro n waitin 4 an awesome day!  dude i dont care if youre reading you have to find out sooner or later! ,0
"@boxofchocolates great job on the 5k today, to bad you can't find your official results ",0
about to watch the #simpsons! come on tweeps ya know ya wanna watch it tooooooo ,4
"@penguinlover200 Yep, the 2150 is the price! ",4
@twinklydave I have a spare washing machine.. so all you need is the lager ,4
@iamdiddy Doesnt LA have a great sunset? Gosh I love my home... ,4
is sitting in the sun ,4
So tired. Got to get hyper before practice but how? My mom still hasn't taken me to get pixi sticks. ,0
"Yep, still got it.  Great show from Sevendust. Mostly old stuff, plus a medley of &quot;Master of Puppets,&quot; &quot;Walk,&quot; and &quot;We Die Young.&quot;",4
@proachcrackhead ya i know! lol n i was listening to XL radio n im gonna miss unite&amp;listen ,0
"@yawnerddn well, none of it is free  haven't checked out the tv bit yet - just looked at the list of films",0
On the computer ,4
Swim meet all day!!! Hope everyone has a great saturday ,4
on my way home. i definitely miss my husband ,0
shower then cogan's with my sister; i can't believe it's sunday already ,0
"@pinkerjen in case you're going, imma ask you to pray for some great weather lol  really became farcical yesterday.. the whole exercise",4
Maths and Economy :/  Iï¿½m studying for my exams ,0
also wanna wish my friend well--she knows who she is-- ,4
I'm off to Salisbury with a gurt hangover  The joys of alcohol misuse!,0
Its time for me to Fly the Twitter Nest! Hope I find something nice to nibble on when I am away! ha ha Catch you all later  x,4
"ahh bored need something to look up in the internet, perezhilton get some juicy gossip!! Miss my babes  xoxo",0
@dyellagurl Don't count on it ,0
"@andrewpierre me?    .  . get it?! HUH, HUH, HUH?! jk. sorry. don't be fuck ",0
Band practice. My boyfriend would be so proudddd! ,4
@HeyErnie ok do you need me to print anything else im printing in yaks tomorrow like practically my whole album ,4
I still want bb... ,0
"@Melishambles Yeah, but was just before I woke up. He didn't have a scottish accent ",0
Going to go pack! be back in a bit! ,4
"My car's starter is out so I'm schlepping about on the bus, which takes FOREVER it seems.  I can't get it fixed till the 18th, though.",0
it is wet and freezing here in old Victoria ,0
"@joannayoung Morning  It's fresher here too, but still gloriously sunny - heavenly! If only I were on the Cornish cliffs now...",4
"i wish my friends had twitter, and i wish i had followers  lol",0
"Woo 10 min presentation went ok. So tired,  have no energy to go to work  I wanna go sleep!",0
only two more exams to go.....  ....happiness ....,4
@sekcdude soooo excited!!!  what time is it on?,4
I can't believe the 3GS has outsold the 3G on release day stats... Not with that pricing.. i would say #o2fail but clearly it is #o2win ,0
"@jameschau maybe we need some policies to let schools teach such classes. I asked my roomates, they even didn''t know much about it  pity",0
Already raining prob no softball tn ,0
"@sarahdessen Happy Birthday to you, Sarah! And many more. ",4
opted NOT to write and draw instead only to discover there isn't anything worth drawing at the moment. Stupid Phipps Plaza customers ,0
@virginflyer glad you're feeling better ,4
i have nothing to eat again ,0
Saw 'Star Trek' yesterday. It was great! ,4
Robin williams is getting old ,0
I've just ruined it for myself by finding out who won. boooo ,0
Zomg our house smells like eggrolls. Go weeaboo house! Asain food makes great air freshener ,4
Working 7-3 at Sheetz &amp; 330-830 at Target today!  off tomorrow! Heck yeah! ,4
"at my mother in laws because im locked out of the house...not to bad tho, she was kind to make me a sandwich ",4
I miss my babyboyy! ,0
[Cricket Talk]      GemmaWhite21: is off to play cricket (hopefully)  (via oCricket Talk) .. http://bit.ly/PmACq,4
Sun is back ,4
@tegels so sorry you both missed it.   are you hoping to come to dalby forest?,0
Tweeting driving n talking on the phone...I'm so dangerous LOL. About to take it to the casa! But had fun wid my bookie @Candisscandi ,4
Stevenage look destined for another season in the Conference       But it ain't over till the fat lady sings...hope springs eternal...,0
@flywonder03 i followed ya back on twitter ,4
is missing you so much already and is very sad that things couldnt be different ,0
goooooood Morniiiiing!  just woke up... nd im still tired -.- hehe,4
@hishee i dont wanna be ,0
@penelopeoverton George B Shaw apparently wrote 2000 words a day. Sure practice works- the more you do the more it comes as 2nd nature ,4
@MaddieFoo thanks love.  i tried it. hopefully it will work.,4
"I'm gonna go c Keyshia Cole, The Dream, B0bby V and Keri Hils0n jUne 18th ",4
ach! coffee has gone cold ,0
"@siobhaness ASMB! bahah, english is hilaaarious ",4
@Fejennings Frank guess what...@Original_One has been reinstated haha ,4
This release puts the 'crap' in 'crap' ,0
@mrstephenbeck it was her time to go. ,0
"@fridley Attribution? This is twitter! Steal and take credit yourself! Oh hang on, I need Sarcastica now...  (thanks for the video link!)",4
"I am sad because I can not see RAW, someone knows what happened? Can anybody help me please ",0
"one more time i have to say that, he is the REASON for the teardrops on my guitar ... but this time... is not like the others.. ",0
hmmmmm. really likes pizza. and is glad he gets to eat it... one last time before his get fit intervention. ,4
back from dinner w. my family. i'm not meeting christine anymore  sunny weather tomorrow and a day out &amp; about. i want red bull!,0
"Twittering from the netbook running Windows 7, very nice ",4
Final CakeFest Schedule Announced! http://cakefest.org/talks #cakefest #cakephp Soooo wishing that I was there ,0
so what. i dont care what's on the outside meng ,4
ok...am i java rookie...i knw...bt i hope ds openCMS docs make some sense ,0
"Hubby found a job!  Except we have to relocate   Would not mind, not happy here in michigan, but selling our house is going to be tough.",0
"@william_control http://twitpic.com/7ha29 - Blah, I gotta get mine pulled soon. :/ Sell it on Ebay, I'd love to see the bids ",4
"@ indulj w/big sis. u st, downtown. come check us out ",4
@samjmoody thankss Sam! I thought he was younger than 13 when he started...  xx,4
"@MrVegasNYC oh lol...maybe, but i doubt it  I'm comfortable wit my weirdness &amp; not trying to be hood or cool anymore. I'm Fly that trumps",4
@dannamarie   can't wait for you to relax and we talk ,4
@LMW1305 Put it on my list then ,4
@HawaiianKiko hi there!  Love your posts.  Sorry I can't sponsor ,0
@erikarose21 just bought it off amazon. ,4
"@FollowLucas uhm, I love you? yes. very much so. ",4
@androidtomato i didnt ask so that you would post it. just that you were quiet i thought you were snoring away next to @hammer32 ,4
@andrevr @HarryHarley Cool thanks  glad I'm still visible,4
I've discovered that being alone in my head is not a fun place to be ,0
I could pretty much stab someone. My computer is no longer working. ,0
UGH! work til 7...and then a paper and then have to study for a test  booo! can't wait to get outtaaa summmaschool!,0
my comp is being a bitch so i have to upload my youtube vid later ,0
I made it! Pittsburgh 1/2 Marathon 3:13:32. my feet hurt -  and I didnt come in last. though the older gent sped past me at finish ;),0
is downloading songs. Suggestions?  http://plurk.com/p/x8byr,4
@TsunamiWavin *cough* Sounds.. Paralyzing. ,4
"@fairly_biased oh damn... really? it's working just fine in my browser... Nyws, sorry again... ",4
on my way out the door to pick up a pizza for the boys &amp; their grampa. @demtation &amp; i are gonna go on a little dinner-movie date. ,4
Goodmoring  i'm getting my lip periced today ,4
@vipvirtualsols Hi Alexandra! I can really feel the energy from you! Thanks for the ;) how is your #FF going? Love I'm like a Bird ,4
@Meezyy aww i wish i would have seen your tweet cuz i'm definitely back in jerz and i leave tomorrow ,0
There is something seriously wrong with my phone. ,0
this bus smells like bum ass and is sticky ,0
is about to eat din din.   -- get better soon!!! &lt;3,4
